video_path,instruction
wyzi9GNZFMU_0_0to121.mp4,男性の顔に向かってスムーズにズームインする効果を適用します。オリジナルの中間ショットから始まり、クローズアップで終わるようにし、彼を中心に保ちます。
8rKYl1CdXCc_5_276to660_scene02.mp4,動画を修正して、男性がカメラに向かって友好的に手を振るために左手を上げるようにしてください。彼の身元、着ているスーツ、そして濃紺の背景はそのまま保ってください。動きが自然で時間的にも一貫性があり、手や腕の周りにちらつきやアーティファクトがないようにしてください。
1s9DER1bpm0_10_0to213.mp4,シーン内の疲れた動物の数を増やすために、中景や背景エリアに地面に横たわるサイやバッファローを追加してください。これらの追加する動物が、元の被写体の照明や影、3Dアニメーションスタイルに合うようにして、シームレスな統合を実現してください。また、時間的一貫性を保つようにし、新しいインスタンスが動かず、動画内で環境に正しく層をなして配置されるようにしてください。
DaUJkmBvTKM_2_0to150.mp4,スピーカーの背後にある屋外の背景を、洗練された現代的な自動車ショールームに置き換え、柔らかなスタジオの照明と遠くにぼやけた車が見えるようにしてください。スピーカーのアウトライン、特に頭と肩の細かなエッジがきれいにマスキングされ、全てのフレームでエッジがちらついたりアーティファクトが出ないようにしてください。既存のローワーサードテキストと右上の「an」ロゴは、背景の変更に影響を受けず、完全に読みやすい状態を保たなければなりません。新しい背景の照明と視点が、スピーカーのフレーム内での位置を自然に補完し、高品質でプロフェッショナルな見た目を維持するようにしてください。
Xw9Zsc9A924_0_0to138.mp4,動画の全体にわたって女性の髪の色を鮮やかなバイオレットに変更してください。色のマスクは彼女の髪の輪郭に正確に沿っており、肌や背景との間に色が漏れないようにきれいなエッジを保ってください。新しいバイオレットの色合いは、ウィンドウからの既存の柔らかな照明に一貫して反応する自然な影やハイライトを示すべきです。他のビジュアル要素、特に彼女の表情やブラウスの詳細な模様の整合性を保ち、高品質でちらつきのない結果を保証してください。
94msufYZzaQ_26_0to273.mp4,このビデオ全体を伝統的な日本の浮世絵スタイルの木版画に変換してください。二人の男性のアイデンティティと表情は保持しつつ、スタイルの特徴である大胆な輪郭と平面的なカラーパレットを適用します。また、作業場の背景の認識できるレイアウトを維持し、テクスチャーを一貫させ、フレーム間の時間的なちらつきがないようにしてください。
A7wDe9rF7Xs_5_84to354.mp4,ビデオ全体に滑らかなズームインのカメラ効果を適用し、徐々に男性の顔に焦点を合わせていきます。被写体の鮮明さを保ち、ズームが安定していて、急な揺れや視点の歪みがないようにします。また、シーンの元の照明と色を移行中ずっと保持します。
n7WSvDzNfaM_1_0to226.mp4,女性の黒いニットビーニーを、動画全体を通して明るい赤のウール帽子に置き換えます。新しい帽子は彼女の頭の形にリアルにフィットし、微細な頭の動きの際にも完璧な空間的整合性を保つようにします。ウールの質感は明確に定義され、赤い色は森林環境の自然でやや muted な照明にマッチするようにカラーバランスを整えます。また、帽子が彼女のブロンドの髪や額に接する部分では、クリーンでシャープなエッジを維持し、プロフェッショナルでちらつきのない仕上がりを確保します。
-UcSvp9UkJk_16_0to152.mp4,動画全体をサイバーパンクスタイルに変換し、赤いボタンやディスプレイに鮮やかなネオンの光を追加してください。色のコントラストを高め、未来的で暗い雰囲気を演出し、微妙な青やピンクのライティングアクセントを導入します。手や音楽機器の構造的なディテールが常に明確に視認でき、一貫性を保つようにし、ちらつきのアーティファクトがないようにしてください。
mKmpT3EWyfQ_4_18to209.mp4,手動コーヒーグラインダーに向かって滑らかなドリーインの動きを行い、詳細な組み立てプロセスを捉えます。
2s388uO1d-4_6_40to316.mp4,ビデオ全体に微妙で滑らかなドリーインカメラ動作を適用し、徐々に主題に近づいていきます。動きの間中、男性を中央にフレーミングし、顔には常にシャープな焦点を保ちます。背景の思い出の品の視点の移動は自然で一貫性があり、歪みや揺れがないようにします。
gmc7SaIlX9A_45_0to124.mp4,ビジネスマンの横顔にゆっくりとしたズームインを適用してください。彼が遠くを見つめているシーンを捉えます。ズームはクリップの最初から始まり、徐々に視野を狭めて、シーケンスの終わりには彼の顔をよりタイトにフレームするようにします。全体の動きの間、被写体にシャープな焦点を保ちながら、バックグラウンドのぼかしが滑らかで一貫していることを確認し、ちらつきや揺れがないようにしてください。
KeT7K68NzLA_14_0to155.mp4,ベースギターの弦に鮮やかでネオンのような電気的な発光効果を適用し、その効果が動画全体にわたって持続するようにしてください。この光はリズミカルに脈打ち、ギターのサンバーストボディや演奏者の手に柔らかくリアルな光を投げかける必要があります。視覚効果は弦の動きを高精度で追跡し、クリーンなエッジを維持し、ちらつきがないようにしながら、演奏者の指や衣服の明瞭さを保つことを確認してください。
KXmC6uNtmJ8_8_0to127.mp4,銀色のスポーツカーを明るい赤いランボルギーニに置き換えつつ、屋内のショールームの背景を維持してください。
Q8lmpE8vAL0_1_0to314.mp4,女性の真ん前のデスクにプロフェッショナルグレードのスタジオコンデンサーマイクを置いてください。マイクのベースが反射する表面に自然に置かれ、正確な接触影と微妙な反射があることを確認します。挿入されたオブジェクトは動画の間中ずっと完全に安定しており、デスクや女性の手に対して一貫した位置を保つ必要があります。マイクのエッジはシャープでクリーンに保たれ、女性が手を動かしたり話したりしてもちらつきやアーティファクトが発生しないようにしてください。
cERS8z56GsU_18_46to365.mp4,全体の真っ黒な背景を、柔らかい間接照明が施されたモダンなテクノロジースタジオの内部にぼかしたものに置き換えてください。主題である白いテーブル面や商品の箱は、黒い縁やちらつきが全くないように、きれいでシャープなエッジを正確に保つ必要があります。新しい背景は一貫した視点を維持し、浅い被写界深度を持って、プレゼンターに焦点を合わせられるようにしてください。主題と新しい背景との間の移行が滑らかであることを確認し、男性の髪や衣服の周りにマスキングのアーティファクトが残らないようにしてください。
4HYLeL_r55Q_7_0to255_scene02.mp4,画面の右側にいるプレゼンターの後ろにあるぼやけた背景を、プロの厨房の鮮明で明るい画像に置き換えてください。プレゼンターの輪郭がきれいにマット処理され、ちらつきがないようにして、画面の左側にあるハンバーガーの部分はそのままに保ってください。動画全体で背景と照明のプロファイルが一貫しているようにしてください。
zUofaGtC3mY_68_0to190.mp4,シーン全体にピクセルアートスタイルを適用し、16ビットレトロゲームの美学を与えてください。
